number of variables,sample size,methods,mean run-time
3,5000,barcode_data_time_mean,0.0174596887100233
3,5000,barcode_model_fit_time_mean,1.0332342935726048e-06
3,5000,linear_data_time_mean,0.2874885890299674
3,5000,linear_model_fit_time_mean,0.001301679988973774
3,10000,barcode_data_time_mean,0.0341958679699928
3,10000,barcode_model_fit_time_mean,7.105915574356914e-07
3,10000,linear_data_time_mean,0.5769506886900263
3,10000,linear_model_fit_time_mean,0.0017965685680974275
3,15000,barcode_data_time_mean,0.0514538190399935
3,15000,barcode_model_fit_time_mean,7.612386252731085e-07
3,15000,linear_data_time_mean,0.8591477143400198
3,15000,linear_model_fit_time_mean,0.0027287888876162468
3,20000,barcode_data_time_mean,0.0677302508299908
3,20000,barcode_model_fit_time_mean,7.317803101614117e-07
3,20000,linear_data_time_mean,1.1443531509500098
3,20000,linear_model_fit_time_mean,0.0035179437819169834
3,25000,barcode_data_time_mean,0.0843943829999943
3,25000,barcode_model_fit_time_mean,7.377011934295297e-07
3,25000,linear_data_time_mean,1.452326322160011
3,25000,linear_model_fit_time_mean,0.002923119880724698
3,30000,barcode_data_time_mean,0.1014633507000053
3,30000,barcode_model_fit_time_mean,7.333670509979129e-07
3,30000,linear_data_time_mean,1.7146837469899947
3,30000,linear_model_fit_time_mean,0.0033012724289437755
3,35000,barcode_data_time_mean,0.1186116793799874
3,35000,barcode_model_fit_time_mean,1.1755904415622354e-06
3,35000,linear_data_time_mean,1.9826743398600133
3,35000,linear_model_fit_time_mean,0.0037776282074628398
3,40000,barcode_data_time_mean,0.1346535265600232
3,40000,barcode_model_fit_time_mean,7.248693145811558e-07
3,40000,linear_data_time_mean,2.282061517480033
3,40000,linear_model_fit_time_mean,0.004225823244196363
3,45000,barcode_data_time_mean,0.1507191307300036
3,45000,barcode_model_fit_time_mean,7.451820420101285e-07
3,45000,linear_data_time_mean,2.544226756110029
3,45000,linear_model_fit_time_mean,0.00446802543476224
3,50000,barcode_data_time_mean,0.1703615085299952
3,50000,barcode_model_fit_time_mean,7.261079736053944e-07
3,50000,linear_data_time_mean,2.8325225366500035
3,50000,linear_model_fit_time_mean,0.005565958439256065
4,5000,barcode_data_time_mean,0.0173604031600461
4,5000,barcode_model_fit_time_mean,1.0901212226599455e-06
4,5000,linear_data_time_mean,0.790011061460018
4,5000,linear_model_fit_time_mean,0.001934003359056078
4,10000,barcode_data_time_mean,0.0343029395100802
4,10000,barcode_model_fit_time_mean,8.993601659312844e-07
4,10000,linear_data_time_mean,1.5685410597499412
4,10000,linear_model_fit_time_mean,0.0025975462497444825
4,15000,barcode_data_time_mean,0.0514370908700311
4,15000,barcode_model_fit_time_mean,9.109918028116226e-07
4,15000,linear_data_time_mean,2.3446118288199886
4,15000,linear_model_fit_time_mean,0.004351952440920286
4,20000,barcode_data_time_mean,0.068085599179958
4,20000,barcode_model_fit_time_mean,1.0160909732803703e-06
4,20000,linear_data_time_mean,3.1207599811400177
4,20000,linear_model_fit_time_mean,0.004075156296021305
4,25000,barcode_data_time_mean,0.085178540980014
4,25000,barcode_model_fit_time_mean,1.5528977382928134e-06
4,25000,linear_data_time_mean,3.8971112614000414
4,25000,linear_model_fit_time_mean,0.005152727307286113
4,30000,barcode_data_time_mean,0.1010785362899787
4,30000,barcode_model_fit_time_mean,8.918717503547668e-07
4,30000,linear_data_time_mean,4.672869309119997
4,30000,linear_model_fit_time_mean,0.006728536355658434
4,35000,barcode_data_time_mean,0.1186500299899762
4,35000,barcode_model_fit_time_mean,9.201391367241741e-07
4,35000,linear_data_time_mean,5.454772053609968
4,35000,linear_model_fit_time_mean,0.007323723988956771
4,40000,barcode_data_time_mean,0.1347049372299716
4,40000,barcode_model_fit_time_mean,9.329675231128931e-07
4,40000,linear_data_time_mean,6.221739552960016
4,40000,linear_model_fit_time_mean,0.008303871815442107
4,45000,barcode_data_time_mean,0.1524560356299844
4,45000,barcode_model_fit_time_mean,9.097991278395056e-07
4,45000,linear_data_time_mean,7.020824655259912
4,45000,linear_model_fit_time_mean,0.00945240396016743
4,50000,barcode_data_time_mean,0.1686604883400286
4,50000,barcode_model_fit_time_mean,9.10496455617249e-07
4,50000,linear_data_time_mean,7.808623975420087
4,50000,linear_model_fit_time_mean,0.01114255599793978
5,5000,barcode_data_time_mean,0.017388618909863
5,5000,barcode_model_fit_time_mean,9.320187382400035e-07
5,5000,linear_data_time_mean,1.8800129100399128
5,5000,linear_model_fit_time_mean,0.0033395525166997684
5,10000,barcode_data_time_mean,0.034385633450056
5,10000,barcode_model_fit_time_mean,9.914609836414455e-07
5,10000,linear_data_time_mean,3.704555631030089
5,10000,linear_model_fit_time_mean,0.005263777611544356
5,15000,barcode_data_time_mean,0.0512239050000607
5,15000,barcode_model_fit_time_mean,9.168044198304415e-07
5,15000,linear_data_time_mean,5.542920361830147
5,15000,linear_model_fit_time_mean,0.007529684595647268
5,20000,barcode_data_time_mean,0.0683524446200681
5,20000,barcode_model_fit_time_mean,1.0670069605112076e-06
5,20000,linear_data_time_mean,7.360903275989858
5,20000,linear_model_fit_time_mean,0.009978558471193538
5,25000,barcode_data_time_mean,0.084918683969845
5,25000,barcode_model_fit_time_mean,1.1401105439290405e-06
5,25000,linear_data_time_mean,9.221928135590078
5,25000,linear_model_fit_time_mean,0.012877637357451021
5,30000,barcode_data_time_mean,0.1011574746298902
5,30000,barcode_model_fit_time_mean,9.160605259239673e-07
5,30000,linear_data_time_mean,11.050883726810062
5,30000,linear_model_fit_time_mean,0.014056250902940519
5,35000,barcode_data_time_mean,0.1186607145799644
5,35000,barcode_model_fit_time_mean,9.308382868766785e-07
5,35000,linear_data_time_mean,12.87108579594009
5,35000,linear_model_fit_time_mean,0.017794451399240643
5,40000,barcode_data_time_mean,0.1354154544399898
5,40000,barcode_model_fit_time_mean,1.0064704110845923e-06
5,40000,linear_data_time_mean,14.72630933337996
5,40000,linear_model_fit_time_mean,0.021011363925063052
5,45000,barcode_data_time_mean,0.1531943006999608
5,45000,barcode_model_fit_time_mean,1.0061514331027865e-06
5,45000,linear_data_time_mean,16.55592794624006
5,45000,linear_model_fit_time_mean,0.024406365590402858
5,50000,barcode_data_time_mean,0.1694184961499559
5,50000,barcode_model_fit_time_mean,9.601126657798887e-07
5,50000,linear_data_time_mean,18.34562455655017
5,50000,linear_model_fit_time_mean,0.027872411631396973
6,5000,barcode_data_time_mean,0.0174001909599246
6,5000,barcode_model_fit_time_mean,1.5214172890409827e-06
6,5000,linear_data_time_mean,4.061108633979784
6,5000,linear_model_fit_time_mean,0.009898165828199126
6,10000,barcode_data_time_mean,0.034391358259927
6,10000,barcode_model_fit_time_mean,1.0630505857989192e-06
6,10000,linear_data_time_mean,8.068990116540226
6,10000,linear_model_fit_time_mean,0.018980762020219116
6,15000,barcode_data_time_mean,0.0512666307602921
6,15000,barcode_model_fit_time_mean,1.0345102054998279e-06
6,15000,linear_data_time_mean,12.041943290849886
6,15000,linear_model_fit_time_mean,0.022298027552315035
6,20000,barcode_data_time_mean,0.068125141310229
6,20000,barcode_model_fit_time_mean,1.0146579006686806e-06
6,20000,linear_data_time_mean,16.063078464919855
6,20000,linear_model_fit_time_mean,0.030436584467533976
6,25000,barcode_data_time_mean,0.0847515771798862
6,25000,barcode_model_fit_time_mean,1.4152168296277524e-06
6,25000,linear_data_time_mean,20.142692359299943
6,25000,linear_model_fit_time_mean,0.03903895516821649
6,30000,barcode_data_time_mean,0.1022657223001442
6,30000,barcode_model_fit_time_mean,1.0407023364678026e-06
6,30000,linear_data_time_mean,24.12964289332009
6,30000,linear_model_fit_time_mean,0.054234620658680795
6,35000,barcode_data_time_mean,0.119081412459891
6,35000,barcode_model_fit_time_mean,1.012259745039046e-06
6,35000,linear_data_time_mean,28.246976627700096
6,35000,linear_model_fit_time_mean,0.0695407431293279
6,40000,barcode_data_time_mean,0.1348510727598477
6,40000,barcode_model_fit_time_mean,2.095247618854046e-06
6,40000,linear_data_time_mean,32.17662786884004
6,40000,linear_model_fit_time_mean,0.07830803932913113
6,45000,barcode_data_time_mean,0.1526715287097613
6,45000,barcode_model_fit_time_mean,1.7436296911910177e-06
6,45000,linear_data_time_mean,38.30987327081988
6,45000,linear_model_fit_time_mean,0.08619620543497149
6,50000,barcode_data_time_mean,0.1690979677103314
6,50000,barcode_model_fit_time_mean,1.00067351013422e-06
6,50000,linear_data_time_mean,40.38359209660994
6,50000,linear_model_fit_time_mean,0.09656724488828332
